NOMBRE,TIPO,ESTADO,DEPARTAMENTO-CIUDAD,INFORMACION,CONTRATISTA,EXTENSION,LOCALIDADES,INICIO,FIN,PLAZO,AVANCE,FINANCIACION,INVERSION
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 16, Lote 17 y Lote 19",Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Paraguarí - Escobar,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 16, Lote 17 y Lote 19",Proel Ingeniería,132,Paraguarí - Guairá,"Mié, 25 Noviembre 2015","Vie, 25 Noviembre 2016",,0%,Fondo Local,Gs. 3.595.705.896
Mejoramiento de Transitabilidad de caminos no pavimentados (Chaco). Lote 3,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Alto Paraguay - Capitán Carmelo Peralta,"Mejoramiento de Transitabilidad de caminos no pavimentados en la Región Occidental (Chaco).
Comisaría 65 (Desvío a Carmelo Peralta) – Carmelo Peralta (65 km.), Comisaría 65 a Toro Pampa (78 km.), Intersección Bioceánica (km 83) – Comisaría 65 (50 km), Tramo 22 Paragro – Puerto Sastre (75 km.), Centinela (Desvío km 83) – Puerto Casado (93 km). Todos estos tramos fueron adjudicados al Consorcio Obras Viales 02/02/2015 15/08/2015",Consorcio Obras Viales,"361,00 Kms.",Carmelo Peralta - Toro Pampa – Comisaría 65 - Paragro – Puerto Sastre - Centinela – Puerto Casado,"Lun, 02 Febrero 2015","Sáb, 15 Agosto 2015",6,100%,Fondo Local,Gs. 22.740.054.738
"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 14, Ruta N° 2 desvío a Mbocayaty del Yhaguy (San José) - Rotonda Cnel. Oviedo ( Incluye la rotonda)",Mejoramiento de Franja de Dominio,FINALIZADA,Caaguazú - San José de los Arroyos,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 14, Ruta N° 2 desvío a Mbocayaty del Yhaguy (San José) - Rotonda Cnel. Oviedo ( Incluye la rotonda)",Ing. Ramón L. Salvioni Gonzalez,27,Caaguazú,"Mar, 01 Diciembre 2015","Mié, 01 Junio 2016",,100%,Fondo Local,Gs. 421.200.000
Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Guairá,Ripio / Empedrado,EN CONSTRUCCIÓN,Guairá - Villarrica,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Guairá. Lote 1,Consorcio Vial CE2,"32,89 kms",Guairá,"Sáb, 01 Octubre 2016","Sáb, 25 Agosto 2018",22,56%,BID,Gs. 26.925.959.049
Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Misiones,Ripio / Empedrado,EN CONSTRUCCIÓN,Misiones - San Ignacio,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Misiones,Consorcio Chaves Hausman y Asociados,"38,45 kms.",Misiones,"Sáb, 01 Octubre 2016","Jue, 04 Octubre 2018",34,53%,BID,Gs. 28.863.878.297
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Ñeembucú - Pilar,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,T&C S.A.,"291,10 kms",Ñeembucú,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,100%,Fondo Local,Gs. 2.579.450.036
Pavimentación tipo empedrado,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Cordillera - Caacupé,Obra 9: Tramo: Desvio Ruta Atyra/ Candia/ Caacupe - Ruta Tobati/Caacupe,Construcciones Rivas S.A.,"2,46",Atyra - Candia - Caacupé - Tobati,"Vie, 06 Mayo 2016","Lun, 01 Mayo 2017",,87%,Fondo Local,Gs. 3.878.757.099
Construcción de Alcantarilla Celular Triple,Alcantarillado Sanitario,EN CONSTRUCCIÓN,Central - San Lorenzo,LLAMADO MOPC N° 50/2016 LPN EMPRESAS CONSTRUCTORAS PARA LA CONSTRUCCION DE ALCANTARILLA CELULAR TRIPLE EN LA INTERSECCION DEL ARROYO TAYAZUAPEI CON LA AVDA. DE LA VICTORIA - CIUDAD DE SAN LORENZO,PROEL INGENIERIA,,San Lorenzo,"Jue, 07 Mayo 2015","Lun, 06 Febrero 2017",,44%,Fondo Local,Gs. 974.792.226
Construcción del tramo: Luque - San Bernardino - Sección II - Prog. 9+890 a 31+200,Pavimentación Asfáltica,FINALIZADA,Central - Luque,LLAMADO MOPC N° 143/2011 LPN FIRMAS CONSTRUCTORAS PARA LA PAVIMENTACIÓN DEL TRAMO: SECCIÓN II: TRAMO: LUQUE - SAN BERNARDINO - PROG. 9+890 A 31+200,Consorcio del Lago,21.31 kms,Luque - San Bernardino,"Mié, 01 Agosto 2012","Mar, 29 Diciembre 2015",,100%,Fondo Local,Gs. 87.702.356.566
Rehabilitación del tramo Ruta a Villeta Km 16 (Ruta a Alberdi),Rehabilitación de Tramos,FINALIZADA,Central - Villeta,"LLAMADO N° 167/2012 LPN REHABILITACIÓN DEL ACCESO A VILLETA - ALBERDI KM0 - KM 16 - AD REFERÉNDUM A LA AMPLIACIÓN PRESUPUESTARIA, TRAMO: RUTA A VILLETA - KM 16 (RUTA A ALBERDI)",Consorcio Villetano,16,Villeta,"Mar, 18 Marzo 2014","Vie, 13 Marzo 2015",12,100%,Fondo Local,Gs. 39.047.002.406
Rehabilitación Ruta N° 9. Mariscal Estigarribia - La Patria - Infante Rivarola,Rehabilitación de Tramos,EN CONSTRUCCIÓN,Boquerón - Mariscal José Félix Estigarribia,Rehabilitación Ruta N° 9. Mariscal Estigarribia - La Patria - Infante Rivarola (Colocación de mezcla Asfáltica),OCHO A S.A.,179,Mcal. Estigarribia,"Sáb, 01 Febrero 2014","Mié, 04 Mayo 2016",15,99%,Fondo Local,Gs. 36.408.341.156
Pavimentación asfáltica del tramo: San Jose De Los Arroyos - Tebicuary,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caaguazú - Caaguazú,Pavimentación asfáltica del tramo: San Jose De Los Arroyos - Tebicuary,14 de Julio S.A.,"1,00",San José de los Arroyos,"Mié, 31 Agosto 2016","Jue, 12 Enero 2017",,0%,Fondo Local,Gs. 11.144.180.593
Mejoramiento de transitabilidad de caminos no pavimentados en la Región Occidental (Chaco),Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Alto Paraguay - Bahía Negra,Mejoramiento de transitabilidad de caminos no pavimentados en la Región Occidental (Chaco). Lote 4,Consorcio Occidental,"257,00 Kms.",,"Lun, 02 Febrero 2015","Mar, 01 Septiembre 2015",7,100%,Fondo Local,Gs. 12.258.150.495
Rehabilitación del Tramo - Obra 1: Coronel Oviedo - Villarrica,Rehabilitación de Tramos,EN CONSTRUCCIÓN,Guairá - Villarrica,Rehabilitación del Tramo. Obra 1: Coronel Oviedo - Villarrica,Consorcio Vial Nuevo Horizonte,44 kms.,Coronel Oviedo - Villarrica,"Lun, 07 Enero 2013","Mar, 28 Febrero 2017",,87%,Fondo Local,Gs. 123.715.587.615
Rehabilitación del Tramo. Obra 2: Villarrica - Ñumi,Rehabilitación de Tramos,EN CONSTRUCCIÓN,Guairá - Villarrica,Rehabilitación del Tramo. Obra 2: Villarrica - Ñumi,Consorcio Yuty,24.74 kms,Villarrica - Ñumi,"Lun, 07 Enero 2013","Vie, 30 Diciembre 2016",,86%,Fondo Local,Gs. 71.931.801.047
Mejoramiento de transitabilidad del tramo en la Región Occidental - Lote 5,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Boquerón - Mariscal José Félix Estigarribia,Mejoramiento de transitabilidad del tramo en la Región Occidental - Mcal. Estigarribia - Tte. Pico - 4 de Mayo. Lote 5,Sotec S.A.,190 Kms.,,"Lun, 02 Febrero 2015","Mié, 19 Agosto 2015",7,100%,Fondo Local,Gs. 12.490.318.960
Rehabilitación del Tramo. Obra 3: Ñumi - Caazapá,Rehabilitación de Tramos,FINALIZADA,Guairá - Ñumí,Rehabilitación del Tramo. Obra 3: Ñumi - Caazapá,PROEL INGENIERIA,26.80 kms.,Ñumi - Caazapá,"Lun, 04 Febrero 2013","Vie, 10 Abril 2015",,0%,Fondo Local,Gs. 46.188.470.845
Mejoramiento de transitabilidad de caminos no pavimentados de la Región Occidental. Lote 6,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Boquerón - Mariscal José Félix Estigarribia,Mejoramiento de transitabilidad de caminos no pavimentados de la Región Occidental. Lote 6. Tramo Mcal. Estigarribia - Cruce Don Silvio - Pozo Hondo (Picada 500). 02/02/2015 07//08/2015,T&C S.A.,220 Kms.,,"Lun, 02 Febrero 2015","Vie, 07 Agosto 2015",6,100%,Fondo Local,Gs. 10.673.042.533
Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado,Rehabilitación de Tramos,EN CONSTRUCCIÓN,San Pedro - Santa Rosa del Aguaray,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección I: Intersección Ruta Nº 3 Km. 282,60 (Rotonda Santa Rosa) Km 0,00 - Km 35,00. Colonia Santa Bárbara. Accesos y Travesías Urbanas. Incluye 3 Puentes de HºAº. Prog. 17+9",EDB Construcciones,39.65,Santa Rosa del Aguaray,"Mar, 05 Marzo 2013","Lun, 27 Junio 2016",,96%,FONPLATA,Gs. 166.115.833.646
Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado,Rehabilitación de Tramos,FINALIZADA,San Pedro - Santa Rosa del Aguaray,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección II: Colonia Santa Bárbara Km 35,00 - Km 70,00. Asentamiento Karapa'i. Travesías Urbanas.",Green,41.94,Santa Rosa del Aguaray,"Mié, 24 Abril 2013","Vie, 08 Abril 2016",,0%,FONPLATA,Gs. 133.992.050.722
Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado.,Rehabilitación de Tramos,FINALIZADA,San Pedro - San Pedro de Ycuamandyyú,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección III: Asentamiento Karapa'i Km 70,00 - Km 105,00. Colonia Piray. Travesías Urbanas. Incluye 2 Puentes de HºAº. Prog. 83+820 L = 40,00 m (Aº Aguaraveve). Prog. 96+500 L",Ecomipa S.A.,40.07,Capitán Bado,"Mar, 05 Marzo 2013","Jue, 18 Febrero 2016",,0%,FONPLATA,Gs. 192.076.411.671
Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú,Circunvalación,EN CONSTRUCCIÓN,Paraguarí - Carapeguá,"Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú.
OBRA 2: Circunvalación de la Ciudad de Carapeguá.",Consorcio LG,4.80 kilometros,Carapeguá,"Sáb, 01 Febrero 2014","Jue, 22 Septiembre 2016",,95%,Fondo Local,Gs. 40.498.269.700
Señalización Horizontal,Señalización Horizontal,EN CONSTRUCCIÓN,Central - San Lorenzo,"El Lote 1 incluye Calle Última; Mcal. Estigarribia - Itá; Itauguá, Calle Última; Mcal. López - Arroyo Irala, Arroyo Irala - Mcal. López, Puente Remanso, Transchaco – Semidei, así como en distintos puntos del Área Metropolitana Asunción y Gran Asunción.
Señalización con Pintura Termoplástica por Aspersión y Extrusión y Marcadores Retro-reflejantes (Tachas), que a diferencia de la pintura acrílica convencional, su durabilidad es tres veces superior.",CONSORCIO SERVIAM ACARAY,"372,70 Kms,",Itá - Itauguá - San Lorenzo - Fdo. De La Mora - Mariano Roque Alonso - Asunción,"Lun, 20 Abril 2015","Vie, 05 Agosto 2016",16,87%,Fondo Local,Gs. 16.899.791.378
Señalización Horizontal,Señalización Horizontal,EN CONSTRUCCIÓN,Presidente Hayes - Benjamín Aceval,Señalización Horizontal. Lote 3 . Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Canindeyú - Cordillera - Guairá - Paraguarí.,CONSORCIO SERVIAM ACARAY,895 Kms.,Dptos.: Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Canindeyú - Cordillera - Guairá - Paraguarí,"Lun, 20 Abril 2015","Vie, 05 Agosto 2016",16,87%,Fondo Local,Gs. 22.036.763.864
Señalización Vertical,Señalización Vertical,EN CONSTRUCCIÓN,Central - San Lorenzo,"Señalización Vertical - Lote N°1, incluye Calle Última; Mcal. Estigarribia - Itá; Itauguá, Calle Última; Mcal. López - Arroyo Irala, Arroyo Irala - Mcal. López, Puente Remanso, Transchaco – Semidei, así como en distintos puntos del Área Metropolitana Asunción y Gran Asunción.",OCHO A S.A.,"372,70 Kms.",Itá - Itauguá - San Lorenzo - Fdo. De La Mora - Mariano Roque Alonso - Asunción,"Lun, 30 Marzo 2015","Mié, 30 Marzo 2016",12,57%,Fondo Local,Gs. 15.549.996.468
Señalización Vertical,Señalización Vertical,FINALIZADA,Presidente Hayes - Benjamín Aceval,Señalización Vertical - Lote N°3. Comprende caminos de los departamentos de: Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Cordillera - Guairá - Paraguarí - Misiones - Canindeyú,OCHO A S.A.,"895,00 Kms.",Departamentos Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Cordillera - Guairá - Paraguarí - Misiones - Canindeyú,"Jue, 08 Enero 2015","Mié, 30 Marzo 2016",15,100%,Fondo Local,Gs. 17.149.997.028
"Habilitación De La Ruta N° 9, Tramo Mcal. Estigarribia-La Patria (58Km) Y Mantenimiento Del Tramo La Patria-Tte. Infante Rivarola (115Km) Fase II",Pavimentación Asfáltica,EN CONSTRUCCIÓN,Boquerón - Mariscal José Félix Estigarribia,"Habilitación De La Ruta N° 9, Tramo Mcal. Estigarribia-La Patria (58Km) Y Mantenimiento Del Tramo La Patria - Tte. Infante Rivarola (115Km) Fase II.",Consorcio Rovella Carranza S.A. Y Asociados.,"173,00 Kms.",Mcal. Estigarribia - La Patria - Infante Rivarola,"Mar, 01 Diciembre 2015","Jue, 31 Mayo 2018",30,28%,CAF,Gs. 307.358.227.700
Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 28 y Lote 37,Mejoramiento de Franja de Dominio,EN CONSTRUCCIÓN,Paraguarí - Acahay,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 28 y Lote 37,Hesaka S.A.,54,Paraguarí - Cordillera,"Mar, 17 Febrero 2015","Mié, 17 Febrero 2016",,0%,Fondo Local,Gs. 592.850.000
Construcción de Puente de HºAº en el tramo Compañía Mbatovi sobre el A° Mbatovi,Puente de Hormigón Armado,FINALIZADA,Paraguarí - Acahay,Construcción de Puente de HºAº en el tramo Compañía Mbatovi sobre el A° Mbatovi,MOPC,6 metros,Paraguarí,"Jue, 28 Enero 2016","Dom, 17 Abril 2016",,0%,Fondo Local,Gs. 150.000.000
Construcción de Puentes de HºAº en varios tramos,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Paraguarí - Caapucú,"Contrucción de puentes de hormigón armado, en los departamentos de Cordillera, Guairá y Paraguarí:
Piribebuy: Piribebuy - Compañía Tape Guasu - Arroyo Yhaguymi.
Atyra: Atyra - Tobati (Compañia B. Caballero) - Arroyo s/n
Col. Independencia: Desvio Pireka - Potrero del Carmen - Aº Yroysa
Desvio Pireka - Potrero del Carmen - Aº Jhoyvy
Ybycuí: Costa Irala - Qui'indy - Arroyo s/n
Ybycuí - Larroza - Aliv. Arroyo Ybycuí
Caapucú: Ruta I - Montiel Potrero - Arroyo Sin Nombre 1
Ruta I - Montiel Potrero - Arroyo Sin Nombre 2
Ruta I - Montiel Potrero - Arroyo Sin Nombre 3
Ruta I - Montiel Potrero - Arroyo Sin Nombre 4",Consorcio Rovella Carranza S.A. Y Asociados.,110 Mtrs.,Piribebuy - Atyra - Col. Independencia - Ybycuí - Caapucú.,"Jue, 01 Octubre 2015","Sáb, 01 Abril 2017",18,2%,CAF,Gs. 15.196.060.386
Mejoramiento de Transitabilidad de Caminos Vecinales en el Distrito de Pinasco,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Presidente Hayes - Puerto Pinasco,Mejoramiento de Transitabilidad de Caminos Vecinales en el Distrito de Pinasco,Consorcio de Obras Viales II,210 kms,Pdte. Hayes,"Vie, 01 Julio 2016","Mar, 27 Diciembre 2016",,66%,Fondo Local,Gs. 23.000.000.000
Pavimentación asfáltica del Acceso al Puerto Don Joaquín,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Itapúa - Capitán Meza,Pavimentación asfáltica del Acceso al Puerto Don Joaquín,Consorcio Vial Itapúa,2.7 kms.,Itapúa,"Mar, 05 Mayo 2015","Jue, 05 Enero 2017",,64%,Fondo Local,Gs. 9.820.148.252
Pavimentación asfáltica sobre empedrado del tramo Nueva Italia - Carapeguá,Pavimentación Asfáltica,FINALIZADA,Central - Nueva Italia,Pavimentación asfáltica sobre empedrado del tramo Nueva Italia - Carapeguá,Consorcio Caañabe,31,Nueva Italia - Carapeguá,"Mié, 17 Agosto 2016","Lun, 17 Abril 2017",,100%,Fondo Local,Gs. 26.448.559.200
Construcción del Acceso a desnivel al Comando del Ejército en la Autopista Ñu Guasu.,Paso a Desnivel,EN CONSTRUCCIÓN,Central - Asunción,"Construcción del Acceso a desnivel al Comando del Ejército en la Autopista Ñu Guasu.
Modalidad llave en mano.",OCHO A S.A.,,Asunción,"Lun, 17 Octubre 2016","Mar, 17 Abril 2018",,25%,Fondo Local,Gs. 14.015.737.845
Pavimentación asfáltica del tramo: Calle 14 - Río Monday,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Alto Paraná - Ciudad del Este,Pavimentación asfáltica del tramo: Calle 14 - Río Monday,Cconsorcio Monday,21 kms.,Minga Guazú,"Mié, 27 Julio 2016","Sáb, 27 Mayo 2017",,37%,Fondo Local,Gs. 17.725.000.000
Construcción de Puentes de HºAº,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Caazapá - Caazapá,"Construcción de Puentes de HºAº en varios tramos de:
Departamento de Caazapá: en los distritos de Caazapá - San Juan Nepomuceno - Yuty - 3 de Mayo.
Departamento de Alto Paraná: en el distrito de Minga Guazu.
Dpto. de Ñeembucú: en los distritos de Isla Umbú - Humaitá. 01/10/2015 - 01/04/2017",INGAER S.A.,"189,00 Mtrs.",En los distritos de Caazapá - San Juan Nepomuceno - Yuty - 3 de Mayo - Minga Guazu - Isla Umbu Humaita,"Jue, 01 Octubre 2015","Sáb, 01 Abril 2017",18,53%,CAF,Gs. 19.212.348.145
Construcción de Puentes de Hormigón Armado en varios tramos,Puente de Hormigón Armado,EN CONSTRUCCIÓN,Concepción - Concepción,"Construcción de Puentes de HºAº en varios tramos en el Departamento de Concepción
En los distritos de:
Concepción: Paso Barreto - Col. Jorge S. Miranda - Arroyo Cure'y
Paso Barreto - Col. Jorge S. Miranda -Arroyo Trementina
Loreto: Loreto - Paso Barreto - Arroyo Yavevy'y
Loreto - Paso Barreto - Arroyo Laguna Penayo
Loreto - Paso Barreto - Arroyo Espejo
Loreto - Paso Barreto - Arroyo Laguna Tajy
Concepción: Paso Barreto - Puentesiño - Arroyo Paso Ovecha
Paso Barreto - Puentesiño - Arroyo Cazal cue
Paso Barreto - Puentesiño - Arroyo Aº Seco
San Carlos del Apa: Puentesiño - San Carlos - Arroyo s/n",Covipa S.A.,249 metros,Distritos de Concepción - Loreto - San Carlos del Apa,"Jue, 01 Octubre 2015","Jue, 01 Junio 2017",20,45%,CAF,Gs. 14.457.440.246
Pavimentación Asfáltica sobre empedrado,Pavimentación Asfáltica sobre Empedrado,FINALIZADA,Cordillera - Caraguatay,"Tramo Eusebio Ayala - Isla Pucú - Caraguatay - Vapor Cué
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 2
El mencionado tramo se inicia en la intersección con la Ruta Nº 2, atraviesa la zona urbana de la ciudad de Eusebio Ayala, que se desarrolla hasta la progresiva 2+000 con calzada de 7,00 m de ancho; a partir de esta progresiva el ancho de la misma se reduce a 6,20 m, luego pasa por la ciudad de Isla Pucú, Caraguatay, hasta llegar al Parque Nacional Vapor Cué, recorriendo un trayecto de 26,2 Km.",Roggio & Hijos S.A.,"26,20 Kms.",Eusebio Ayala - Isla Pucú - Caraguatay - Vapor Cué,"Lun, 02 Marzo 2015","Mié, 21 Octubre 2015",6,100%,Fondo Local,Gs. 23.244.157.590
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 15,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Caaguazú - Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 15,PROEL INGENIERIA,224 kms,Caaguazú,"Lun, 11 Julio 2016","Dom, 11 Septiembre 2016",,100%,Fondo Local,Gs. 2.620.798.656
Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Caazapá,Ripio / Empedrado,EN CONSTRUCCIÓN,Caaguazú - Caaguazú,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Caazapá,Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),"34,88",Caazapá,"Mié, 18 Enero 2017","Jue, 16 Agosto 2018",20,76%,BID,Gs. 25.973.187.784
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 20,Mejoramiento de transitabilidad de caminos no pavimentados,EN REPARACIÓN,Itapúa - Alto Verá,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 20,Benito Roggio,257,Itapúa,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,77%,Fondo Local,Gs. 210.169.793.200
Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Ripio / Empedrado,EN CONSTRUCCIÓN,San Pedro - San Pedro de Ycuamandyyú,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Consorcio Tape Rory,"26,50",San Pedro,"Mié, 18 Enero 2017","Mié, 18 Julio 2018",,0%,BID,Gs. 20.809.721.470
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de San Pedro. Lote 5,Mejoramiento de transitabilidad de caminos no pavimentados,EN REPARACIÓN,San Pedro - San Pedro de Ycuamandyyú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de San Pedro. Lote 5,Caldetec Ingeniería S.A.,317 kms.,San Pedro,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,91%,Fondo Local,Gs. 3.027.928.525
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Misiones. Lote 26,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Misiones - Ayolas,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Misiones. Lote 26,CDD Construcciones,191,Misiones,"Lun, 01 Agosto 2016","Vie, 30 Septiembre 2016",,0%,Fondo Local,Gs. 1.629.262.279
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Paraguarí. Lote 28,Mejoramiento de transitabilidad de caminos no pavimentados,EN REPARACIÓN,Paraguarí - Acahay,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Paraguarí. Lote 28,Compañía de Construcciones Civiles S.A.,204,Paraguarí,"Lun, 18 Julio 2016","Vie, 16 Septiembre 2016",,0%,Fondo Local,Gs. 2.497.333.320
Pavimentación Asfáltica sobre empedrado,Pavimentación Asfáltica sobre Empedrado,FINALIZADA,Cordillera - Tobatí,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 3
Pavimentación Asfáltica sobre empedrado. Tramo Tobatí - 1º de marzo",Ecomipa S.A.,24 Kms.,Tobatí - 1° de Marzo,"Vie, 20 Febrero 2015","Vie, 25 Septiembre 2015",6,100%,Fondo Local,Gs. 17.363.120.236
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 21,Mejoramiento de transitabilidad de caminos no pavimentados,EN REPARACIÓN,Itapúa - Alto Verá,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 21,Consorcio Arrecife,250,Itapúa,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,90%,Fondo Local,Gs. 1.955.000.000
Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Ripio / Empedrado,EN CONSTRUCCIÓN,San Pedro - San Pedro de Ycuamandyyú,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Consorcio San Ignacio,"28,70",San Pedro,"Mié, 18 Enero 2017","Mié, 18 Julio 2018",,0%,BID,Gs. 14.388.406.840
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 14,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Caaguazú - Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 14,Consorcio Vial CE2,159 kms,Caaguazú,"Mié, 20 Julio 2016","Dom, 18 Septiembre 2016",,100%,Fondo Local,Gs. 2.262.736.400
Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,San Pedro - San Pedro de Ycuamandyyú,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Tecnologia del Sur S.A.,"315,00",San Pedro,"Lun, 09 Enero 2017","Lun, 09 Abril 2018",,0%,Fondo Local,Gs. 2.888.888.310
Pavimentación Asfáltica sobre empedrado,Pavimentación Asfáltica sobre Empedrado,FINALIZADA,Central - San Antonio,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 1.
Tramo Acceso Sur - Cruce Villeta
Tramo J Augusto Saldivar (KM 27 Ruta N°1 )- Guarambare - Acceso Sur
Tramo Ruta 4 Mojones - Rifineria (Calle Polesky) - San Antonio (Pto. Gisel) - Acceso Sur (Ytororo)",Consorcio Acaray,"23,00 Kms.",Villeta - Guarambaré - J Augusto Saldivar - San Antonio - Ñemby - Villa Elisa,"Vie, 10 Abril 2015","Dom, 15 Noviembre 2015",6,100%,Fondo Local,Gs. 19.874.933.478
Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá. Lote 17,Mejoramiento de transitabilidad de caminos no pavimentados,FINALIZADA,Caazapá - Abaí,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá. Lote 17,Constructora Heisecke S.A.,221,Caazapá,"Vie, 01 Julio 2016","Mar, 30 Agosto 2016",,100%,Fondo Local,Gs. 2.032.271.800
Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Misiones - San Ignacio,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Consorcio LT - Black,"229,00",Misiones,"Lun, 09 Enero 2017","Dom, 09 Abril 2017",,0%,Fondo Local,Gs. 1.827.550.072
Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Misiones - San Ignacio,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Ing. Miguel Ángel Chávez Haussman,"445,00",Misiones,"Mar, 13 Diciembre 2016","Lun, 13 Marzo 2017",,0%,Fondo Local,Gs. 1.654.384.400
